=== MO-2 GYRO CHAMBER SYSTEM ===
Gyro Detected.
Flash ID: 20 BA 21
IDLE: 'e'=Erase, 'r'=Retrieve, BTN=Log
--- START DATA ---
CYCLE_ID:1
217,86,2860
182,99,2870
230,121,2898
167,117,2840
144,103,2847
176,106,2870
173,69,2821
230,70,2906
246,119,2805
244,82,2782
185,129,2825
149,111,2838
225,148,2891
159,100,2835
138,89,2925
147,96,2896
209,122,2893
243,113,2843
239,117,2798
251,119,2861
260,131,2875
225,113,2847
176,93,2814
145,73,2849
160,103,2875
235,129,2937
225,147,2842
172,99,2862
272,57,2824
257,81,2893
151,100,2828
197,133,2797
147,140,2891
180,109,2852
243,88,2861
226,90,2823
193,136,2838
216,119,2852
160,70,2851
203,118,2918
169,123,2909
268,118,2840
140,103,2874
216,140,2887
209,156,2863
237,121,2802
180,111,2843
175,125,2893
225,104,2861
218,101,2861
204,124,2906
172,90,2867
202,79,2834
189,40,2820
225,73,2825
236,103,2803
141,100,2829
138,92,2872
198,139,2901
167,134,2892
173,145,2858
182,139,2871
178,145,2866
187,142,2878
196,135,2860
163,114,2840
150,126,2873
179,96,2869
159,116,2861
177,110,2829
144,124,2867
149,98,2869
177,94,2860
224,103,2807
239,87,2833
244,101,2850
187,106,2892
174,97,2863
222,120,2790
214,94,2871
220,119,2833
183,97,2777
205,114,2843
200,99,2887
192,128,2890
137,134,2865
219,118,2881
231,130,2842
180,105,2848
187,78,2849
228,92,2797
258,111,2845
202,116,2851
191,115,2850
156,178,2841
154,80,2827
247,89,2835
141,80,2882
143,87,2841
217,71,2852
217,105,2868
173,133,2907
168,100,2840
214,99,2847
233,76,2829
194,46,2826
188,51,2893
218,78,2862
214,77,2840
162,96,2909
152,127,2844
180,110,2864
219,71,2780
233,122,2858
171,131,2890
173,105,2836
231,100,2847
225,124,2785
210,92,2836
185,100,2891
236,109,2838
223,93,2798
173,105,2850
162,110,2854
168,104,2874
238,128,2836
148,100,2857
241,117,2830
268,142,2886
190,110,2832
173,94,2864
141,129,2878
173,100,2827
