=== MO-2 GYRO CHAMBER SYSTEM ===
Gyro Detected.
Flash ID: 20 BA 21
IDLE: 'e'=Erase, 'r'=Retrieve, BTN=Log
--- START DATA ---
CYCLE_ID:1
-61,311,-32
102,-105,-17
78,-659,69
-62,-1203,118
-92,-1682,162
3,-1903,160
36,-1795,155
-65,-1414,200
-247,-932,286
-592,-621,318
-672,-298,422
-456,-117,507
-50,5,439
459,21,339
605,-163,165
802,-331,-58
913,-520,-222
901,-540,-276
817,-325,-242
603,26,-179
281,283,-75
-176,382,87
-597,276,178
-724,38,245
-490,-298,255
-225,-578,139
-31,-794,41
210,-583,190
330,-456,103
303,-373,-82
147,-296,-169
13,-97,-91
-7,125,132
102,125,329
237,79,495
344,-87,533
460,-297,490
413,-428,388
421,-385,307
470,-174,245
537,91,130
303,579,-78
269,623,-46
-23,495,110
-346,246,309
-401,1,409
-301,-313,409
-242,-502,367
-182,-516,316
-121,-464,213
22,-326,146
178,-72,84
267,239,115
339,526,161
380,612,190
407,259,349
467,184,501
593,60,751
628,-103,819
565,-224,773
457,-207,747
431,-70,713
431,50,703
388,175,729
367,295,790
487,401,877
561,468,985
548,463,1095
502,437,1106
535,391,1141
939,328,1287
1177,316,1402
1402,356,1523
1511,392,1581
1707,374,1543
1833,354,1492
1736,380,1388
1519,411,1361
1434,401,1364
1347,423,1358
1228,438,1387
1043,342,1445
999,137,1468
972,-27,1770
504,-558,1772
170,-722,1892
-103,-899,1868
-240,-985,1682
-308,-900,1503
-203,-744,1290
10,-473,1039
124,-204,892
200,45,945
237,248,1015
323,259,1135
413,118,1232
276,-77,1409
53,-272,1681
125,-681,2255
333,-764,2594
457,-813,2819
311,-813,2918
-109,-824,2863
-628,-772,2722
-1060,-565,2645
-1333,-303,2696
-1253,-198,2823
-1008,-292,2960
-727,-641,3037
-539,-927,3080
-456,-1039,3148
-454,-979,3442
-514,-631,3973
-655,-703,4072
-695,-921,4018
-756,-1161,4103
-698,-1298,4253
-636,-1412,4431
-300,-1567,4649
156,-1672,4852
