=== MO-2 GYRO CHAMBER SYSTEM ===
Gyro Detected.
Flash ID: 20 BA 21
IDLE: 'e'=Erase, 'r'=Retrieve, BTN=Log
--- START DATA ---
CYCLE_ID:1
134,-142,625
205,-121,673
158,-88,685
144,-99,660
177,-97,628
179,-128,612
146,-126,639
155,-118,637
165,-92,677
175,-70,628
166,-126,591
182,-90,613
133,-110,602
141,-139,647
164,-107,635
174,-109,634
175,-124,606
153,-106,624
170,-109,669
170,-120,684
171,-74,669
172,-77,658
192,-113,654
121,-126,647
141,-65,666
183,-89,658
110,-114,652
130,-123,662
149,-93,678
145,-126,661
127,-140,655
93,-114,662
133,-69,636
124,-88,648
169,-69,663
148,-51,635
168,-75,690
218,-85,681
148,-100,644
149,-112,604
156,-75,633
142,-88,674
133,-53,710
124,-55,689
207,-70,643
171,-113,632
117,-124,654
116,-120,690
164,-99,653
164,-67,639
170,-119,648
169,-75,675
196,-83,628
134,-154,650
122,-64,623
190,-71,649
122,-109,633
194,-115,664
156,-162,637
174,-114,636
188,-85,649
171,-124,629
154,-132,643
113,-143,677
143,-102,684
181,-112,663
207,-79,611
163,-114,615
121,-136,635
192,-70,661
170,-137,610
101,-149,637
112,-92,679
140,-55,671
149,-76,659
165,-112,621
129,-126,614
108,-110,646
167,-76,640
154,-98,617
145,-105,658
209,-94,649
91,-93,703
162,-89,658
199,-71,631
183,-77,618
158,-120,627
150,-115,634
185,-102,646
185,-85,661
170,-84,657
153,-108,668
202,-115,634
153,-118,636
213,-115,652
186,-119,669
131,-100,712
135,-83,719
170,-66,636
193,-104,593
185,-98,594
211,-122,652
174,-132,629
146,-114,635
228,-135,678
177,-103,671
207,-85,639
185,-124,648
154,-121,614
152,-100,631
162,-100,632
181,-92,639
121,-116,666
154,-96,655
194,-66,610
226,-84,650
189,-91,662
124,-75,657
128,-77,714
126,-82,701
120,-129,635
151,-117,598
160,-125,586
220,-73,663
185,-58,655
209,-78,658
165,-119,684
161,-99,698
175,-63,665
166,-112,642
175,-120,598
173,-137,602
155,-124,633
