=== MO-2 GYRO CHAMBER SYSTEM ===
Gyro Detected.
Flash ID: 20 BA 21
IDLE: 'e'=Erase, 'r'=Retrieve, BTN=Log
--- START DATA ---
CYCLE_ID:1
511,1444,6598
511,1232,6380
277,815,6310
-10,593,6376
-80,442,6528
-50,245,6834
169,90,7325
531,-58,7718
758,-275,7769
981,-493,7620
1193,-545,7376
1167,-530,7109
947,-525,6774
477,-522,6570
86,-418,6647
-138,-250,7442
-274,374,8166
151,750,8663
715,1064,8944
1145,1446,8877
1381,1813,8554
1517,2037,8144
1539,2174,7717
1476,2171,7316
1442,2077,7029
1475,1945,6813
1550,1740,6802
1714,1516,6971
1905,1234,7124
2145,1010,7485
2154,769,7731
1913,625,7915
1585,574,8053
1330,559,8060
976,630,7986
653,717,7909
426,845,7733
468,960,7549
736,1096,7432
1027,1170,7363
1339,1244,7449
1700,1365,7601
1985,1343,7719
1931,1267,7798
1519,1111,7934
1340,980,7933
1195,928,7997
1078,922,8032
1123,903,8280
1260,897,8567
1523,895,8871
1680,931,9202
1742,985,9405
1687,1104,9376
1599,1405,9277
1417,1499,8887
1208,1523,8397
897,1488,8103
657,1583,8494
805,1582,9054
1094,1571,9563
1536,1617,9949
1906,1752,9974
2197,1909,9920
2380,2009,9544
2404,2013,9041
2237,1898,8557
2017,1695,8117
1858,1497,7924
1681,1344,8060
1880,1277,8503
1982,1338,8998
2142,1670,9349
1987,1954,9065
1736,2309,8609
1324,2593,7834
765,2825,7031
388,2934,6277
238,2830,5687
236,2614,5509
375,2327,5691
661,1925,6127
973,1573,6727
1145,1297,7258
1285,992,7560
1417,827,7648
1428,650,7147
1646,556,6561
1775,502,6062
1801,434,5555
1688,404,5332
1687,367,5241
1752,325,5229
1703,220,5375
1557,81,5730
1110,-183,6311
582,-364,6878
12,-423,7345
-535,-420,7448
-948,-226,7239
-1198,304,5882
-794,557,4938
-299,740,4148
59,917,3590
354,999,3478
473,982,3597
476,851,3767
466,534,4182
245,179,4648
70,-118,5054
60,-468,5305
246,-661,5300
521,-832,5193
705,-973,4789
866,-1137,4425
843,-972,4630
401,-872,5024
-81,-721,5427
-612,-590,5865
-749,-288,6353
CYCLE_ID:2
213,-441,203
147,-565,302
113,-526,535
-41,-434,624
6,-413,711
125,-406,636
216,-288,425
303,-66,187
269,121,-53
247,211,-197
282,118,-226
239,-35,-182
174,-32,-54
40,14,81
-142,65,223
-279,18,304
-308,-103,288
-185,5,236
32,74,178
218,7,79
320,-59,-21
341,-29,-111
338,77,-162
153,230,-124
53,315,-83
-2,176,108
-92,33,330
-101,-163,504
-122,-234,650
-55,-203,638
126,-231,440
417,-181,281
481,-78,89
493,71,-74
406,133,-140
315,99,-150
267,-34,-75
141,-127,-48
34,-209,-99
54,-198,-68
129,-182,-13
152,-100,-92
298,-23,-99
445,-24,-173
513,15,-504
459,152,-681
359,144,-858
312,65,-897
227,-24,-920
173,-70,-837
209,-97,-779
269,-65,-662
363,-179,-600
507,-318,-533
497,-385,-518
304,-414,-556
102,-426,-620
-38,-392,-709
-125,-349,-846
263,-413,-922
439,-456,-995
513,-255,-1021
500,86,-1057
393,438,-1138
343,633,-1198
288,612,-1329
127,327,-1519
-42,-134,-1710
-229,-416,-1963
-372,-427,-2209
-482,-315,-2537
-560,-239,-2911
-630,-187,-3679
-621,-191,-4080
-515,-130,-4474
-373,-28,-4885
-143,94,-5295
143,170,-5572
341,207,-5846
473,231,-5991
589,310,-6055
591,440,-6284
470,457,-6627
343,275,-6872
189,-55,-7105
68,-417,-7411
-18,-554,-8289
-19,17,-8765
204,367,-9155
398,548,-9314
552,526,-9426
496,347,-9362
299,115,-9234
51,-21,-9216
-149,-27,-9219
-198,-32,-9343
-235,-35,-9509
-230,-106,-9699
-205,-107,-9838
-40,62,-9979
242,-1,-1
815,671,-1
1014,524,-1
1030,300,-9299
828,158,-214
575,35,-129
366,-244,-1
322,-1,-1
5858,2048,512
5858,2048,2
10,0,3315
5858,2048,512
5858,2048,2
10,0,3315
5858,2048,512
10,0,3315
10,0,3315
5858,2048,512
10,0,3315
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
--- END DATA (Found Empty Space) ---
